config,res,time,Y_Wscale,Y_Pscale,Y_EVI
ALPS,_54km,2012-08-27 07:00:00,0.061096179441712695,0.09394246743166856,-0.17867570212791084
DEFAULT,_54km,2012-08-27 07:00:00,0.05239306964806076,0.08494891753150387,-0.15848888162269392
ALPS,_54km,2012-08-27 08:00:00,0.11098377186862148,0.14105503066842823,-0.21783692883489789
DEFAULT,_54km,2012-08-27 08:00:00,0.10709183976043103,0.13052146018883304,-0.19939240646800807
ALPS,_54km,2012-08-27 09:00:00,0.14878103428628148,0.18710507272926805,-0.2436236964605581
DEFAULT,_54km,2012-08-27 09:00:00,0.15066488854919954,0.17511208855587748,-0.2256913029948602
ALPS,_54km,2012-08-27 10:00:00,0.1711759598368562,0.21757182475116602,-0.26233450102949263
DEFAULT,_54km,2012-08-27 10:00:00,0.17781053690642643,0.20298577728822098,-0.24543007609898523
ALPS,_54km,2012-08-27 11:00:00,0.19129285395820153,0.2348129069527888,-0.2736084391808105
DEFAULT,_54km,2012-08-27 11:00:00,0.20239239980127563,0.21781420546131003,-0.2599747670490172
ALPS,_54km,2012-08-27 12:00:00,0.14792521490741034,0.19502323631578283,-0.29300107494179223
DEFAULT,_54km,2012-08-27 12:00:00,0.16152486016541956,0.18121797067061643,-0.2843134880545505
ALPS,_54km,2012-08-27 13:00:00,0.20288273002334928,0.2227109837098177,-0.2817874092711199
DEFAULT,_54km,2012-08-27 13:00:00,0.2158439008168685,0.20419383666713278,-0.2733262773300736
ALPS,_54km,2012-08-27 14:00:00,0.17794785443556638,0.19964227252454209,-0.27434670701401276
DEFAULT,_54km,2012-08-27 14:00:00,0.1914761674506902,0.17836854283499382,-0.26875571543368676
ALPS,_54km,2012-08-27 15:00:00,0.18541043529338644,0.17819017887463046,-0.25461206550383464
DEFAULT,_54km,2012-08-27 15:00:00,0.2009603934370225,0.1555536199496309,-0.2504747539738419
ALPS,_54km,2012-08-27 16:00:00,0.2290381968011921,0.15607631876947173,-0.2110015689599168
DEFAULT,_54km,2012-08-27 16:00:00,0.24022234560207198,0.1397401484493483,-0.20516978756150211
ALPS,_54km,2012-08-27 17:00:00,0.14623609939817864,0.05710220330010161,-0.12493604693026765
DEFAULT,_54km,2012-08-27 17:00:00,0.1451693767600355,0.050787580833848246,-0.12215626472678864
ALPS,_54km,2012-08-27 18:00:00,0.0005319118077107297,0.0006379941382965739,-0.0003738361809345324
DEFAULT,_54km,2012-08-27 18:00:00,0.0005080774300554746,0.0005872177497841497,-0.00047200352719503494
ALPS,_54km,2012-08-27 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-08-27 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-08-27 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-08-27 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-08-27 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-08-27 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-08-27 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-08-27 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-08-27 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-08-27 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 06:00:00,-0.005457857780165416,-0.00279767544859507,-0.030513093703039812
DEFAULT,_54km,2012-09-21 06:00:00,-0.0064136254270257325,-0.003091267213719908,-0.029694498209535264
ALPS,_54km,2012-09-21 07:00:00,0.014949956381450363,-0.009727134944333929,-0.07912691089795101
DEFAULT,_54km,2012-09-21 07:00:00,0.017738113661228648,-0.010868170194440347,-0.0750917360324771
ALPS,_54km,2012-09-21 08:00:00,0.044232743595935396,-0.031740859303819896,-0.11231016531106147
DEFAULT,_54km,2012-09-21 08:00:00,0.05650684743927755,-0.03459698988810657,-0.10867716068234373
ALPS,_54km,2012-09-21 09:00:00,0.06132723848740281,-0.051209068490879917,-0.13494383154404171
DEFAULT,_54km,2012-09-21 09:00:00,0.08681451008007421,-0.05558892285568607,-0.13247571665433713
ALPS,_54km,2012-09-21 10:00:00,0.07194628099902584,-0.06396299269855317,-0.15214894951731694
DEFAULT,_54km,2012-09-21 10:00:00,0.11094360993230735,-0.06905000634824106,-0.15084060310385922
ALPS,_54km,2012-09-21 11:00:00,0.08466449273365564,-0.07297873194213475,-0.16086385220244792
DEFAULT,_54km,2012-09-21 11:00:00,0.13257574696233748,-0.0784536849509183,-0.1609668407399262
ALPS,_54km,2012-09-21 12:00:00,0.08959467428447787,-0.07023255910603761,-0.16610139786815786
