config,res,time,Y_Wscale,Y_Pscale,Y_EVI
ALPS,_54km,2012-03-19 08:00:00,0.0021819633259990145,-0.004537540832366247,0.0006160701263551425
DEFAULT,_54km,2012-03-19 08:00:00,0.0015133629159779147,-0.002926550746028108,0.0005470299307109247
ALPS,_54km,2012-03-19 09:00:00,0.002635306328453306,-0.005774946378042756,0.001137726244543093
DEFAULT,_54km,2012-03-19 09:00:00,0.0019526556426350409,-0.004049178118737582,0.000984452577881876
ALPS,_54km,2012-03-19 10:00:00,0.0030503544305809363,-0.006732774334928086,0.0016288169997775495
DEFAULT,_54km,2012-03-19 10:00:00,0.0023341060680106365,-0.00487280574537222,0.0014276755013963077
ALPS,_54km,2012-03-19 11:00:00,0.0034389344111803617,-0.007721058192027354,0.002007390435630894
DEFAULT,_54km,2012-03-19 11:00:00,0.0027201134192758303,-0.005778139166839882,0.0017675685836704411
ALPS,_54km,2012-03-19 12:00:00,0.003770558458398103,-0.008863374382129276,0.00229655150486995
DEFAULT,_54km,2012-03-19 12:00:00,0.0031507314586407056,-0.007022745950550959,0.0020062046569840632
ALPS,_54km,2012-03-19 13:00:00,0.003657643484557934,-0.008712868612436395,0.002432231105302529
DEFAULT,_54km,2012-03-19 13:00:00,0.0030258878726351635,-0.006777853720182279,0.0020807077229461615
ALPS,_54km,2012-03-19 14:00:00,0.003424732107610996,-0.007956076919750905,0.0019502912680257388
DEFAULT,_54km,2012-03-19 14:00:00,0.0027540357964366134,-0.006051354233853562,0.001711568979657259
ALPS,_54km,2012-03-19 15:00:00,0.0027135800297256886,-0.00617431794858366,0.0011717234259066452
DEFAULT,_54km,2012-03-19 15:00:00,0.00200494180133366,-0.0043072655355467235,0.0010547705208545674
ALPS,_54km,2012-03-19 16:00:00,0.0020596173724341175,-0.003930185329851194,0.0006290081367387417
DEFAULT,_54km,2012-03-19 16:00:00,0.0015278262289516234,-0.002653228816949827,0.0006081712060753795
ALPS,_54km,2012-03-19 17:00:00,0.00011535765719915739,-0.0003057295071349735,6.585877108729057e-05
DEFAULT,_54km,2012-03-19 17:00:00,-7.012687002590751e-06,2.4557304392611898e-05,7.056515481482147e-05
ALPS,_54km,2012-03-19 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-03-19 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-03-19 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 05:00:00,-0.0004490742911659578,-0.0015483389386093031,0.00010927052242400357
DEFAULT,_54km,2012-04-07 05:00:00,-0.0003135673114834518,-0.001053417977630977,0.00013327285357284737
ALPS,_54km,2012-04-07 06:00:00,-0.005293186270469506,-0.012295839614452507,0.002219765926584194
DEFAULT,_54km,2012-04-07 06:00:00,-0.00419175039452314,-0.00962309772496044,0.002353488661659209
ALPS,_54km,2012-04-07 07:00:00,-0.009265256154243269,-0.021345282427855505,0.0037636288581321675
DEFAULT,_54km,2012-04-07 07:00:00,-0.0077277337853454715,-0.017506614179892337,0.003882210356405116
ALPS,_54km,2012-04-07 08:00:00,-0.01229177048183919,-0.03124311416584029,0.005549289553300497
DEFAULT,_54km,2012-04-07 08:00:00,-0.010623617250097443,-0.026674244846330828,0.005392639433466858
ALPS,_54km,2012-04-07 09:00:00,-0.015144583127565656,-0.04262326604090867,0.008193483982878409
DEFAULT,_54km,2012-04-07 09:00:00,-0.01349685206517653,-0.03741634134051966,0.007667564734969895
ALPS,_54km,2012-04-07 10:00:00,-0.01580593118702163,-0.04973241948459693,0.010515904247526558
DEFAULT,_54km,2012-04-07 10:00:00,-0.014116841229939604,-0.04407211516720736,0.009867506754002468
ALPS,_54km,2012-04-07 11:00:00,-0.01726720262269737,-0.05502444785226484,0.011611858316249305
DEFAULT,_54km,2012-04-07 11:00:00,-0.015531879853623438,-0.048930096582926894,0.010679553454267514
ALPS,_54km,2012-04-07 12:00:00,-0.017268917599131517,-0.0557601285503508,0.011092210617444668
DEFAULT,_54km,2012-04-07 12:00:00,-0.015486862173388965,-0.04915175219328794,0.01010795013769725
ALPS,_54km,2012-04-07 13:00:00,-0.015484595324621406,-0.05055841257305476,0.009447600295265387
DEFAULT,_54km,2012-04-07 13:00:00,-0.013763679926774347,-0.043800508782867856,0.008664951185736125
ALPS,_54km,2012-04-07 14:00:00,-0.014242356649269493,-0.044760504105997474,0.007504879580301384
DEFAULT,_54km,2012-04-07 14:00:00,-0.01248287831001107,-0.038029233546678094,0.006961050841368199
ALPS,_54km,2012-04-07 15:00:00,-0.012828035825609192,-0.03945412005864858,0.005461029273642054
DEFAULT,_54km,2012-04-07 15:00:00,-0.011066615665039718,-0.03309831357968836,0.005314621184914764
ALPS,_54km,2012-04-07 16:00:00,-0.009690561217013331,-0.02728072811477133,0.0027035594801938633
DEFAULT,_54km,2012-04-07 16:00:00,-0.008325439316826198,-0.02246845276509587,0.002868175533172124
ALPS,_54km,2012-04-07 17:00:00,-0.004926281217134895,-0.013094184205482536,0.0010708962086738974
DEFAULT,_54km,2012-04-07 17:00:00,-0.0041844509038092975,-0.01061036770849861,0.0012521400393973694
ALPS,_54km,2012-04-07 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-04-07 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-04-07 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 04:00:00,0.0005339919889371016,-0.0008886614870617393,-0.0005601442304374709
DEFAULT,_54km,2012-05-16 04:00:00,0.0002719393635540358,-0.0008027370758504572,-0.0005439655243282447
ALPS,_54km,2012-05-16 05:00:00,0.0052077005961094405,-0.006028992578165226,-0.001017365797118834
DEFAULT,_54km,2012-05-16 05:00:00,0.005801975042693715,-0.005969026014554376,-0.0005321616697946742
ALPS,_54km,2012-05-16 06:00:00,0.010902020487753643,-0.012499557253347013,-0.0015599167246075757
DEFAULT,_54km,2012-05-16 06:00:00,0.01247706764053023,-0.012817006123181313,-0.0008305837755968632
ALPS,_54km,2012-05-16 07:00:00,0.015477331943263837,-0.01571340822456454,-0.0018040548034803565
DEFAULT,_54km,2012-05-16 07:00:00,0.019690991077336246,-0.01698049777487735,-0.00017481888672452698
ALPS,_54km,2012-05-16 08:00:00,0.008443993925345587,-0.014027920846276349,-0.006890131381378314
DEFAULT,_54km,2012-05-16 08:00:00,0.014737351557963,-0.01604201660719833,-0.004592924289525997
ALPS,_54km,2012-05-16 09:00:00,0.008829201499851195,-0.017699164310521678,-0.012678974286570098
DEFAULT,_54km,2012-05-16 09:00:00,0.016152577176734084,-0.020005112458484915,-0.010011434515268104
ALPS,_54km,2012-05-16 10:00:00,0.007821944840856227,-0.022809035934679884,-0.01841665156122031
DEFAULT,_54km,2012-05-16 10:00:00,0.016603860897666013,-0.02576566897561759,-0.015533170776683713
ALPS,_54km,2012-05-16 11:00:00,0.00819670370813955,-0.028620578081482946,-0.02359604703238021
DEFAULT,_54km,2012-05-16 11:00:00,0.018179339657266334,-0.03198907231365741,-0.0203067307106031
ALPS,_54km,2012-05-16 12:00:00,0.00756651335365289,-0.031734783761895924,-0.025770065758923565
DEFAULT,_54km,2012-05-16 12:00:00,0.017486167222703384,-0.03498542546738304,-0.022305718423262053
ALPS,_54km,2012-05-16 13:00:00,0.010470362167047153,-0.03787433076231149,-0.028033650676305782
DEFAULT,_54km,2012-05-16 13:00:00,0.022074891376500844,-0.0414786518550127,-0.02412799370073732
ALPS,_54km,2012-05-16 14:00:00,0.0026404296098636584,-0.033152069520689165,-0.02971396470552348
DEFAULT,_54km,2012-05-16 14:00:00,0.010775886955976532,-0.0351360440583012,-0.026122011689705394
ALPS,_54km,2012-05-16 15:00:00,0.00034989372574211044,-0.02906017016321942,-0.02462229059071194
DEFAULT,_54km,2012-05-16 15:00:00,0.0073211458194378624,-0.030838742676804237,-0.021491332774671162
ALPS,_54km,2012-05-16 16:00:00,0.0013561716208680492,-0.027841140423106772,-0.022138543334142894
DEFAULT,_54km,2012-05-16 16:00:00,0.0040844960580785706,-0.028600842637514872,-0.020099303405525445
ALPS,_54km,2012-05-16 17:00:00,-0.0035092771989669574,-0.01548745982683709,-0.015036899699862421
DEFAULT,_54km,2012-05-16 17:00:00,-0.0038536432384546977,-0.015255349721250745,-0.013988991666408298
ALPS,_54km,2012-05-16 18:00:00,-0.0038578343767161354,-0.0051742718602724,-0.0056573944768979895
DEFAULT,_54km,2012-05-16 18:00:00,-0.005711304240494352,-0.00459574250310084,-0.005537153028282433
ALPS,_54km,2012-05-16 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 21:00:00,0.0,0.0,0.0
