PFT,site,year,RAD0,lambd
GRA,CH-Oe1,2003,133.4692550427037,0.932972048546803
GRA,CH-Oe1,2005,169.4845257929772,1.0
GRA,CH-Oe1,2006,226.2220405092789,0.9357406136961421
GRA,CH-Oe1,2007,145.291455963164,0.9877545160597065
GRA,CH-Oe1,2008,196.0784430476136,1.0
GRA,IT-MBo,2003,295.6638155627332,0.7106445420223098
GRA,IT-MBo,2004,272.9344222860391,0.8233866547770285
GRA,IT-MBo,2005,295.5376437045971,0.7293137363406361
GRA,IT-MBo,2006,209.4475224174862,0.9967851921709652
GRA,IT-MBo,2007,299.7146048317825,0.9260539926661007
GRA,IT-MBo,2008,270.3464418620993,0.8778063154083992
GRA,IT-MBo,2009,247.2430153611834,0.7162917154797904
GRA,IT-MBo,2010,236.0148712500724,1.0
GRA,IT-MBo,2011,223.7548418634251,0.7638226048033379
GRA,IT-MBo,2012,233.7234262081816,0.9978399825782069
GRA,IT-MBo,2013,297.1735010519264,0.6120604223764815
