,GPP_1km,RECO_1km,T2_1km,SWDOWN_1km,GPP_9km,RECO_9km,T2_9km,SWDOWN_9km,GPP_54km,RECO_54km,T2_54km,SWDOWN_54km,GPP_CAMS,RECO_CAMS,T2_CAMS,SWDOWN_CAMS
2012-03-27 17:00:00,0.5138748004501227,1.7619865751030628,2.420564044235352,77.67418670654297,0.30359576723065074,1.4649989920156843,1.0604750040081081,77.14506983227938,0.32436531140629177,1.518356362627375,1.6730789731829623,81.82032302439735,,,,
2012-03-27 18:00:00,0.0,1.611246184529558,1.5633858477345586,0.0,0.0,1.2191855079473466,-0.4209913280564204,0.0,0.0,1.2666897909304815,0.17299186083911527,0.0,0.0009610349835166032,1.0753614755529166,10.635256688017565,147.83179176566534
2012-03-27 19:00:00,0.0,1.581498686390704,1.4015614954162876,0.0,0.0,1.1690692789337842,-0.7051772123816495,0.0,0.0,1.2388229026904363,0.09908375712568279,0.0,,,,
2012-03-27 20:00:00,0.0,1.5592665421145906,1.2802367751364716,0.0,0.0,1.1391556273902625,-0.8934074149539379,0.0,0.0,1.2199562319873922,-0.08094220642323441,0.0,,,,
2012-03-27 21:00:00,0.0,1.5394597191239654,1.1791479056071503,0.0,0.0,1.138524627173703,-0.8618292992894202,0.0,0.0,1.1689599525419416,-0.34680885652215326,0.0,0.0,0.8836188139808745,7.672793361527814,0.0012124326931563522
2012-03-27 22:00:00,0.0,1.5281258652916483,1.1287181500215766,0.0,0.0,1.1553603171644944,-0.7541836767324949,0.0,0.0,1.183821983065115,-0.31454776377225524,0.0,,,,
2012-03-27 23:00:00,0.0,1.5129083081911896,1.0575182730009767,0.0,0.0,1.1589171920124561,-0.6947578734765696,0.0,0.0,1.1922589859738546,-0.28637395652201664,0.0,,,,
2012-04-27 00:00:00,0.0,2.081566929262186,4.156855719843169,0.0,0.0,1.7210615356317225,2.561848697500225,0.0,0.0,1.7700700635976867,3.0861022786127448,0.0,0.0,1.0972366611821243,8.054637910561551,0.0
2012-04-27 01:00:00,0.0,2.0660408246194177,4.123330818524446,0.0,0.0,1.7083864703359894,2.513115396008669,0.0,0.0,1.7609097731654073,3.0447472862609426,0.0,,,,
2012-04-27 02:00:00,0.0,2.0549393291351126,4.123479962306221,0.0,0.0,1.6831112471174359,2.3871830240663576,0.0,0.0,1.7595416235274248,2.953361438413168,0.0,,,,
2012-04-27 03:00:00,0.0,2.0575941042913266,4.19331430127519,0.0,0.0,1.6974947273266066,2.5003364491562077,0.0,0.0,1.7908882463534512,3.2098425357648526,0.0,0.0,0.979510313666062,6.5784028710074,0.0
2012-04-27 04:00:00,0.0,2.0762031556891167,4.3426490422580875,0.0,0.0,1.6958569327361233,2.5449299562278935,0.0,0.0,1.7372569377905847,2.8238403417070854,0.0,,,,
2012-04-27 05:00:00,1.894580200647062,2.2224190093199376,5.207740988456825,98.53446960449219,1.3328779144176948,1.8720320760695799,3.5834247164664492,100.05348479374484,1.2754798836254242,1.8790297342442805,3.711428170617739,78.76848053024717,,,,
2012-04-27 06:00:00,3.8095088886581743,2.3543588664171082,6.01513637429115,278.5110168457031,2.860095382570045,2.038687341204748,4.550216767487272,279.7264442861207,3.011404269375804,1.986390398765141,4.344464338271824,287.04406621953285,4.11258007547233,1.2142807701795895,8.441665492288594,59.74666496423969
2012-04-27 07:00:00,5.077475203384538,2.462140534932817,6.60227749987656,469.3625183105469,4.026187033783748,2.179005157479938,5.27773395283854,469.4053599617419,4.410777086740266,2.167979248583375,5.354089324405909,483.0491957802066,,,,
2012-04-27 08:00:00,5.991115012308146,2.5701617731035267,7.17317958121205,646.2218627929688,4.941903080718197,2.3065186375369566,5.947050366653201,646.31338322196,5.344825256647435,2.2953992285006555,6.044518148286228,662.0646718334632,,,,
2012-04-27 09:00:00,6.70957400346606,2.681581120403902,7.746920716286059,789.0610961914062,5.57212029789789,2.40333782906422,6.441800544621856,790.7328602070963,6.132177581451282,2.432725196003964,6.7935465618593955,806.2141232365942,9.844750167772592,1.9769670225316285,15.027707796024279,460.40623478165793
2012-04-27 10:00:00,7.259156142431014,2.7850934116246115,8.275830144156705,886.7685546875,6.07876556746296,2.4985182916977062,6.930027818531339,890.1005846372984,6.667734709323579,2.545743434648669,7.39650924455402,902.9179414324665,,,,
2012-04-27 11:00:00,7.678004656593695,2.885837727295301,8.792692299055943,930.2437133789062,6.3860661786794495,2.5746414723339117,7.314940004107358,932.6176808774984,6.994246179933282,2.633264064203316,7.853417533172384,945.96506090203,,,,
2012-04-27 12:00:00,7.951287453633424,2.9760142333748583,9.250820362638034,916.4500122070312,6.592085281578974,2.6442124070684825,7.676521329052019,919.2234854826103,7.1362723377467985,2.6968034875054245,8.183930924867452,931.1977655129563,11.72175343644553,2.415965468644152,18.615495185474327,745.7371473610792
2012-04-27 13:00:00,8.035612614022256,3.0420197082456752,9.586080121329706,846.0885009765625,6.6679546681265265,2.7047894045847607,7.9912538753432205,849.0340593579107,7.1079389057413165,2.7410776360422346,8.401185263233335,861.6566946314304,,,,
2012-04-27 14:00:00,7.904163806588656,3.08798885230423,9.81197143712091,725.4810180664062,6.515976325438048,2.7324595560736546,8.138307507967363,728.9488873857871,6.860255622735733,2.7518276645468895,8.462951018446963,742.4164256471286,,,,
2012-04-27 15:00:00,7.467481524325458,3.109733159580959,9.926168889657799,566.0795288085938,6.085507825852348,2.7273726457130922,8.109498676451736,569.4126610151035,6.42726679519602,2.7574411062091664,8.4791524459741,583.3351404739586,9.085482648364772,2.43240220025089,19.64884033826118,616.3315472935122
